Gene
GZMA
PRF
GZMB
PRF1
EOMES
IFNG
TNF
CXCL9
CXCL10
CD8A
CD4
FOXP3
ICOS
CTLA4
IRF1
CCL2
CCL3
CCL4
GZMK
HLA.DMA
HLA.DMB
HLA.DOA
HLA.DOB
CCL5
CD27
CD274
PDCD1LG2
CD276
CMKLR1
CXCR6
HLA.DQA1
HLA.DRB1
HLA.E
IDO1
LAG3
NKG7
PSMB10
STAT1
TIGIT
